"BID.date","close_transformed","close_scaled"
2014-01-24,18.8,0.144522144522145
2014-01-27,18.4,0.135198135198135
2014-02-06,17.6,0.116550116550117
2014-02-07,16.6,0.0932400932400933
2014-02-10,17,0.102564102564103
2014-02-11,16.9,0.1002331002331
2014-02-12,16.8,0.0979020979020979
2014-02-13,16.6,0.0932400932400933
2014-02-14,16.8,0.0979020979020979
2014-02-17,16.7,0.0955710955710956
2014-02-18,16.6,0.0932400932400933
2014-02-19,16.6,0.0932400932400933
2014-02-20,16.9,0.1002331002331
2014-02-21,16.7,0.0955710955710956
2014-02-24,16.7,0.0955710955710956
2014-02-25,16.7,0.0955710955710956
2014-02-26,16.7,0.0955710955710956
2014-02-27,16.9,0.1002331002331
2014-02-28,17,0.102564102564103
2014-03-03,16.7,0.0955710955710956
2014-03-04,16.6,0.0932400932400933
2014-03-05,16.6,0.0932400932400933
2014-03-06,16.6,0.0932400932400933
2014-03-07,16.6,0.0932400932400933
2014-03-10,16.7,0.0955710955710956
2014-03-11,16.6,0.0932400932400933
2014-03-12,16.5,0.0909090909090909
2014-03-13,16.5,0.0909090909090909
2014-03-14,16.6,0.0932400932400933
2014-03-17,16.6,0.0932400932400933
2014-03-18,16.8,0.0979020979020979
2014-03-19,17.4,0.111888111888112
2014-03-20,17.7,0.118881118881119
2014-03-21,17.5,0.114219114219114
2014-03-24,17.6,0.116550116550117
2014-03-25,17.2,0.107226107226107
2014-03-26,16.8,0.0979020979020979
2014-03-27,16.8,0.0979020979020979
2014-03-28,17,0.102564102564103
2014-03-31,16.8,0.0979020979020979
2014-04-01,16.7,0.0955710955710956
2014-04-02,16.7,0.0955710955710956
2014-04-03,16.8,0.0979020979020979
2014-04-04,16.9,0.1002331002331
2014-04-07,16.8,0.0979020979020979
2014-04-08,16.7,0.0955710955710956
2014-04-10,16.7,0.0955710955710956
2014-04-11,16.6,0.0932400932400933
2014-04-14,16.7,0.0955710955710956
2014-04-15,16.5,0.0909090909090909
2014-04-16,16,0.0792540792540793
2014-04-17,16.1,0.0815850815850816
2014-04-18,15.9,0.0769230769230769
2014-04-21,15.5,0.0675990675990676
2014-04-22,15.8,0.0745920745920746
2014-04-23,15.8,0.0745920745920746
2014-04-24,15.9,0.0769230769230769
2014-04-25,15.7,0.0722610722610723
2014-04-28,15.7,0.0722610722610723
2014-04-29,15.8,0.0745920745920746
2014-05-05,15.6,0.0699300699300699
2014-05-06,15.2,0.0606060606060606
2014-05-07,15.5,0.0675990675990676
2014-05-08,14.6,0.0466200466200466
2014-05-09,14.8,0.0512820512820513
2014-05-12,14,0.0326340326340326
2014-05-13,14.1,0.034965034965035
2014-05-14,14.7,0.0489510489510489
2014-05-15,14.2,0.0372960372960373
2014-05-16,14.6,0.0466200466200466
2014-05-19,14.5,0.0442890442890443
2014-05-20,14.7,0.0489510489510489
2014-05-21,14.9,0.0536130536130536
2014-05-22,14.6,0.0466200466200466
2014-05-23,14.7,0.0489510489510489
2014-05-26,14.6,0.0466200466200466
2014-05-27,15,0.055944055944056
2014-05-28,14.9,0.0536130536130536
2014-05-29,14.9,0.0536130536130536
2014-05-30,14.8,0.0512820512820513
2014-06-02,14.6,0.0466200466200466
2014-06-03,14.5,0.0442890442890443
2014-06-04,14.5,0.0442890442890443
2014-06-05,14.5,0.0442890442890443
2014-06-06,14.6,0.0466200466200466
2014-06-09,14.5,0.0442890442890443
2014-06-10,14.7,0.0489510489510489
2014-06-11,14.7,0.0489510489510489
2014-06-12,14.9,0.0536130536130536
2014-06-13,14.9,0.0536130536130536
2014-06-16,14.9,0.0536130536130536
2014-06-17,14.9,0.0536130536130536
2014-06-18,14.9,0.0536130536130536
2014-06-19,14.9,0.0536130536130536
2014-06-20,14.7,0.0489510489510489
2014-06-23,14.9,0.0536130536130536
2014-06-24,15,0.055944055944056
2014-06-25,15,0.055944055944056
2014-06-26,15.1,0.0582750582750583
2014-06-27,15.2,0.0606060606060606
2014-06-30,15.2,0.0606060606060606
2014-07-01,15.1,0.0582750582750583
2014-07-02,15.2,0.0606060606060606
2014-07-03,15.2,0.0606060606060606
2014-07-04,15.2,0.0606060606060606
2014-07-07,15,0.055944055944056
2014-07-08,14.8,0.0512820512820513
2014-07-09,15,0.055944055944056
2014-07-10,14.8,0.0512820512820513
2014-07-11,14.9,0.0536130536130536
2014-07-14,14.8,0.0512820512820513
2014-07-15,14.9,0.0536130536130536
2014-07-16,14.9,0.0536130536130536
